#ies_format_version: 1.0
#file: 20250714_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250714;	125112;	1752477672.000;	       err32
20250714;	125116;	1752477676.000;	       err32
20250714;	125120;	1752477680.000;	       err32
20250714;	125124;	1752477684.000;	       err32
20250714;	125128;	1752477688.000;	       err32
20250714;	125132;	1752477692.000;	       err32
20250714;	125136;	1752477696.000;	       err32
20250714;	125140;	1752477700.000;	       err32
20250714;	125144;	1752477704.000;	       err32
20250714;	125148;	1752477708.000;	       err32
20250714;	125152;	1752477712.000;	       err32
20250714;	125156;	1752477716.000;	       err32
20250714;	125200;	1752477720.000;	       err32
20250714;	125204;	1752477724.000;	       err32
20250714;	125208;	1752477728.000;	       err32
20250714;	125212;	1752477732.000;	       err32
20250714;	125216;	1752477736.000;	       err32
20250714;	125220;	1752477740.000;	       err32
20250714;	125224;	1752477744.000;	       err32
20250714;	125228;	1752477748.000;	       err32
20250714;	125232;	1752477752.000;	       err32
20250714;	125236;	1752477756.000;	       err32
20250714;	125240;	1752477760.000;	       err32
20250714;	125244;	1752477764.000;	       err32
20250714;	125248;	1752477768.000;	       err32
20250714;	125252;	1752477772.000;	       err32
20250714;	125256;	1752477776.000;	       err32
20250714;	125300;	1752477780.000;	       err32
20250714;	125304;	1752477784.000;	       err32
20250714;	125308;	1752477788.000;	       err32
20250714;	125312;	1752477792.000;	       err32
20250714;	125316;	1752477796.000;	       err32
20250714;	125320;	1752477800.000;	       err32
20250714;	125324;	1752477804.000;	       err32
20250714;	125328;	1752477808.000;	       err32
20250714;	125332;	1752477812.000;	       err32
20250714;	125336;	1752477816.000;	       err32
20250714;	125340;	1752477820.000;	       err32
20250714;	125344;	1752477824.000;	       err32
20250714;	125348;	1752477828.000;	       err32
20250714;	125352;	1752477832.000;	       err32
20250714;	125356;	1752477836.000;	       err32
20250714;	125400;	1752477840.000;	       err32
20250714;	125404;	1752477844.000;	       err32
20250714;	125408;	1752477848.000;	       err32
20250714;	125412;	1752477852.000;	       err32
20250714;	125416;	1752477856.000;	       err32
20250714;	125420;	1752477860.000;	       err32
20250714;	125424;	1752477864.000;	       err32
20250714;	125428;	1752477868.000;	       err32
20250714;	125432;	1752477872.000;	       err32
20250714;	125436;	1752477876.000;	       err32
20250714;	125440;	1752477880.000;	       err32
20250714;	125444;	1752477884.000;	       err32
20250714;	125448;	1752477888.000;	       err32
20250714;	125452;	1752477892.000;	       err32
20250714;	125456;	1752477896.000;	       err32
20250714;	125500;	1752477900.000;	       err32
20250714;	125504;	1752477904.000;	       err32
20250714;	125508;	1752477908.000;	       err32
20250714;	125512;	1752477912.000;	       err32
20250714;	125516;	1752477916.000;	       err32
20250714;	125520;	1752477920.000;	       err32
20250714;	125524;	1752477924.000;	       err32
20250714;	125528;	1752477928.000;	       err32
20250714;	125532;	1752477932.000;	       err32
20250714;	125536;	1752477936.000;	       err32
20250714;	125540;	1752477940.000;	       err32
20250714;	125544;	1752477944.000;	       err32
20250714;	125548;	1752477948.000;	       err32
20250714;	125552;	1752477952.000;	       err32
20250714;	125556;	1752477956.000;	       err32
20250714;	125600;	1752477960.000;	       err32
20250714;	125604;	1752477964.000;	       err32
20250714;	125608;	1752477968.000;	       err32
20250714;	125612;	1752477972.000;	       err32
20250714;	125616;	1752477976.000;	       err32
20250714;	125620;	1752477980.000;	       err32
20250714;	125624;	1752477984.000;	       err32
20250714;	125628;	1752477988.000;	       err32
20250714;	125632;	1752477992.000;	       err32
20250714;	125636;	1752477996.000;	       err32
20250714;	125640;	1752478000.000;	       err32
20250714;	125644;	1752478004.000;	       err32
20250714;	125648;	1752478008.000;	       err32
20250714;	125652;	1752478012.000;	       err32
20250714;	125656;	1752478016.000;	       err32
20250714;	125700;	1752478020.000;	       err32
20250714;	125704;	1752478024.000;	       err32
20250714;	125708;	1752478028.000;	       err32
20250714;	125712;	1752478032.000;	       err32
20250714;	125716;	1752478036.000;	       err32
20250714;	125720;	1752478040.000;	       err32
20250714;	125724;	1752478044.000;	       err32
20250714;	125728;	1752478048.000;	       err32
20250714;	125732;	1752478052.000;	       err32
20250714;	125736;	1752478056.000;	       err32
20250714;	125740;	1752478060.000;	       err32
20250714;	125744;	1752478064.000;	       err32
20250714;	125748;	1752478068.000;	       err32
20250714;	125752;	1752478072.000;	       err32
20250714;	125756;	1752478076.000;	       err32
20250714;	125800;	1752478080.000;	       err32
20250714;	125804;	1752478084.000;	       err32
